Baseline 100%T,,Nanospheres01,,Baseline 100%T,,Nanospheres2,,Nanospheres3,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
940.0073853,0.1312216967,940.0073853,0.001379996771,940.0073853,0.1341539621,940.0073853,1.62224102,940.0073853,0.005982283503,
938.994812,0.1289922148,938.994812,-0.0006836277898,938.994812,0.1303101629,938.994812,1.60802424,938.994812,0.00669168774,
938.0144043,0.1256870329,938.0144043,0.001030343818,938.0144043,0.1270400882,938.0144043,1.627128124,938.0144043,0.007134312298,
937.0005493,0.1232778281,937.0005493,0.001388670295,937.0005493,0.1238322258,937.0005493,1.622630477,937.0005493,0.007055848837,
935.9863281,0.1180578917,935.9863281,0.001367895631,935.9863281,0.1207474172,935.9863281,1.651647925,935.9863281,0.006035931408,
935.0043945,0.117494829,935.0043945,0.0004489652347,935.0043945,0.1176788285,935.0043945,1.663226366,935.0043945,0.008349725045,
933.9890747,0.1137030348,933.9890747,0.001342785661,933.9890747,0.1146153212,933.9890747,1.603851557,933.9890747,0.008492800407,
933.0060425,0.1119073108,933.0060425,0.001294932794,933.0060425,0.1136769056,933.0060425,1.666856647,933.0060425,0.005544081796,
931.9896851,0.1093905866,931.9896851,0.0007052919827,931.9896851,0.1110769808,931.9896851,1.619117856,931.9896851,0.006045249756,
931.0056763,0.1057388633,931.0056763,0.002104598563,931.0056763,0.1080971137,931.0056763,1.623979807,931.0056763,0.006698995829,
929.9881592,0.1053230837,929.9881592,-0.001039061346,929.9881592,0.1056545004,929.9881592,1.626913309,929.9881592,0.005704726093,
929.0031128,0.1029235721,929.0031128,0.001199813792,929.0031128,0.1025489867,929.0031128,1.589920759,929.0031128,0.006049528252,
927.9846191,0.1008372009,927.9846191,-0.001408498734,927.9846191,0.1021311134,927.9846191,1.662598014,927.9846191,0.004213433713,
926.9985962,0.09889770299,926.9985962,0.000538813998,926.9985962,0.1023126766,926.9985962,1.666151881,926.9985962,0.004120313097,
926.0119629,0.09770099074,926.0119629,0.0001277919364,926.0119629,0.09811102599,926.0119629,1.68066442,926.0119629,0.007072529756,
924.9918823,0.09496943653,924.9918823,0.001215051161,924.9918823,0.09664443135,924.9918823,1.618530273,924.9918823,0.005731191486,
924.0042725,0.09340348095,924.0042725,0.0005070396001,924.0042725,0.09512937814,924.0042725,1.675654769,924.0042725,0.008002644405,
923.0161133,0.09309170395,923.0161133,0.0003766487935,923.0161133,0.09347423166,923.0161133,1.651707053,923.0161133,0.007271775976,
921.9946289,0.08979012072,921.9946289,0.002725551836,921.9946289,0.09201525152,921.9946289,1.661421776,921.9946289,0.007524866611,
921.0053711,0.0899246335,921.0053711,0.001296905917,921.0053711,0.09053398669,921.0053711,1.637709737,921.0053711,0.006808947772,
920.015686,0.08957699686,920.015686,0.0002429818851,920.015686,0.0899079144,920.015686,1.676770091,920.015686,0.006369491108,
918.9924316,0.08864633739,918.9924316,0.0007130445447,918.9924316,0.09004940093,918.9924316,1.629789829,918.9924316,0.005121880211,
918.00177,0.08727684617,918.00177,0.0009185506497,918.00177,0.08760265261,918.00177,1.663340807,918.00177,0.006959512364,
917.0106201,0.08634281904,917.0106201,0.001261026016,917.0106201,0.08712964505,917.0106201,1.671912789,917.0106201,0.006892573554,
915.9858398,0.08652646095,915.9858398,0.0003962878254,915.9858398,0.08738471568,915.9858398,1.680527329,915.9858398,0.005398383364,
914.9936523,0.08570370823,914.9936523,0.002131625544,914.9936523,0.08667298406,914.9936523,1.653677702,914.9936523,0.006894861814,
914.0010376,0.08572909236,914.0010376,0.0009914502734,914.0010376,0.08622706681,914.0010376,1.657432556,914.0010376,0.006348240655,
913.0078735,0.08530143648,913.0078735,0.001314171939,913.0078735,0.08578245342,913.0078735,1.710430622,913.0078735,0.006623817608,
912.0141602,0.0852419287,912.0141602,0.0008639487205,912.0141602,0.08511720598,912.0141602,1.669901371,912.0141602,0.00609575538,
910.9868164,0.08589686453,910.9868164,-0.0001176616715,910.9868164,0.08492922038,910.9868164,1.677969337,910.9868164,0.006967482623,
909.9922485,0.0849358961,909.9922485,0.001001387369,909.9922485,0.08385513723,909.9922485,1.644167185,909.9922485,0.006833113264,
908.9970703,0.08513260633,908.9970703,0.002058456186,908.9970703,0.08451565355,908.9970703,1.622301579,908.9970703,0.006886182819,
908.0014038,0.08535771072,908.0014038,8.283518014E-007,908.0014038,0.0831252113,908.0014038,1.657711864,908.0014038,0.006988684647,
907.005249,0.08378166705,907.005249,0.001428248594,907.005249,0.08520104736,907.005249,1.658070683,907.005249,0.004444532096,
906.008606,0.08476761729,906.008606,0.001744355657,906.008606,0.08316938579,906.008606,1.647789836,906.008606,0.006865590811,
905.0114746,0.08453524113,905.0114746,0.0002795807668,905.0114746,0.08261822909,905.0114746,1.706065774,905.0114746,0.007175181061,
904.013855,0.08504091203,904.013855,0.000660749909,904.013855,0.08294065297,904.013855,1.706646323,904.013855,0.006216268055,
903.0158081,0.08471393585,903.0158081,0.001892368775,903.0158081,0.08350263536,903.0158081,1.690377355,903.0158081,0.006688480731,
901.9838257,0.08430372179,901.9838257,0.001140764216,901.9838257,0.08280660212,901.9838257,1.723955989,901.9838257,0.006862461101,
900.9846191,0.08500319719,900.9846191,0.0007018954493,900.9846191,0.08371995389,900.9846191,1.66992569,900.9846191,0.00541733345,
899.9851074,0.08528892696,899.9851074,-0.0001626887242,899.9851074,0.08185206354,899.9851074,1.687300324,899.9851074,0.006479359698,
898.9849854,0.08424865454,898.9849854,0.001391890459,898.9849854,0.08186146617,898.9849854,1.62193954,898.9849854,0.00606897939,
897.984314,0.08446964622,897.984314,0.0008443922852,897.984314,0.08252017945,897.984314,1.648668051,897.984314,0.004689987749,
896.9833374,0.08497074246,896.9833374,0.0009913984686,896.9833374,0.08206655085,896.9833374,1.670767784,896.9833374,0.006737273186,
896.0152588,0.08442220092,896.0152588,0.0003435650142,896.0152588,0.08178608865,896.0152588,1.702121019,896.0152588,0.006343486253,
895.0131836,0.08398819715,895.0131836,0.000815059233,895.0131836,0.08203131706,895.0131836,1.694320202,895.0131836,0.005431907251,
894.0106201,0.08419601619,894.0106201,0.0004568168661,894.0106201,0.08129380643,894.0106201,1.692197084,894.0106201,0.006200644188,
893.0076904,0.0839356482,893.0076904,0.0001299670112,893.0076904,0.0810104087,893.0076904,1.648659229,893.0076904,0.007482174318,
892.0042114,0.08287181705,892.0042114,0.0005272287526,892.0042114,0.08271793276,892.0042114,1.653519154,892.0042114,0.00605745567,
