Index,Wavelength,LHC reference intensity,RHC reference intensity,LHC intensity,RHC intensity,Reference delta absorbance,Delta absorbance,Ellipticity,g-factor,Average absorbace,Weak signal flag
130,201.0875517716667,203.14942389610746,199.14942389610746,102.14942389610746,105.14942389610746,-0.008636540654208318,0.02120751658940858,699.468474249161,0.07364336902775083,0.2879759151352379,True
131,201.32383027867039,197.18844127609805,193.18844127609805,95.18844127609805,97.18844127609805,-0.008900315592784012,0.01793071724310629,591.3927441411207,0.05834317361993344,0.30733188015984286,True
132,201.56015495579976,204.22744128999148,201.22744128999148,102.22744128999148,104.22744128999148,-0.006426891270181121,0.014841476823214479,489.5031016655034,0.050631754101200986,0.29312586709024246,True
133,201.7965257786834,208.266423927221,204.266423927221,104.26642392722101,106.26642392722101,-0.008422274156847225,0.016673861521986678,549.9390006112479,0.0570753207342421,0.29213785060665043,True
134,202.03294272295,207.30538917723652,204.30538917723652,105.30538917723652,106.30538917723652,-0.006330769674978965,0.010435453927720226,344.1832053341535,0.03611605185218893,0.2889422678433704,True
135,202.2694057642282,205.34433702950537,202.34433702950537,102.34433702950537,105.34433702950537,-0.006391676029804188,0.018939053282687326,624.6497861980123,0.06464957477722338,0.2929493867198601,True
136,202.50591487814663,209.38326747351107,210.38326747351107,109.38326747351107,109.38326747351107,0.0020692230910511764,-0.0020692230910511764,-68.24732694546306,-0.007311078640301104,0.2830256919471401,True
137,202.74247004033396,211.42218049875487,209.42218049875487,110.42218049875487,109.42218049875487,-0.004127870459361602,0.0001769164734128012,5.835077162660184,0.0006273505435803041,0.2820057704949689,True
138,202.97907122641882,220.4610760947544,217.4610760947544,114.46107609475439,116.46107609475439,-0.00595039013724955,0.01347336421876857,444.37987226717087,0.04847625195944618,0.27793741624331836,True
139,203.21571841202984,212.49995425104476,211.49995425104476,109.49995425104476,111.49995425104476,-0.0020485631173445223,0.0099093145800548,326.83002372977,0.03501645277429097,0.28299024586894206,True
140,203.4524115727957,210.53881495717746,208.53881495717746,107.53881495717746,109.53881495717746,-0.00414527283789422,0.01214806466921502,400.66870741007085,0.04252140975291568,0.28569289540975373,True
141,203.689150684345,216.57765820272107,214.57765820272107,112.57765820272107,115.57765820272107,-0.004029152190874798,0.015450832484636075,509.60093221406066,0.05589297697650001,0.2764360268577628,True
142,203.92593572230646,215.61648397726162,214.61648397726162,110.61648397726162,112.61648397726162,-0.002018884169005876,0.009800998190052515,323.25752151190477,0.03439410019461184,0.28496161070054493,True
143,204.16276666230863,229.65529227040133,227.65529227040133,123.65529227040133,124.65529227040133,-0.003798707184774312,0.007296720212220328,240.66116993696988,0.02751243140457879,0.2652153895422693,True
144,204.39964347998023,223.69408307176013,220.69408307176013,116.69408307176013,117.69408307176013,-0.005863807086099242,0.009569600976165302,315.62555501262926,0.03444522115173573,0.2778208603745045,True
145,204.63656615094988,228.7328563709741,228.7328563709741,123.7328563709741,125.7328563709741,0.0,0.006963743147961469,229.6788864567143,0.02644175160079404,0.26336164309751514,True
146,204.87353465084618,233.77161215769684,231.77161215769684,127.77161215769684,129.77161215769684,-0.0037315302300090134,0.010476855618326859,345.54872011462624,0.040747112659779136,0.25711896952807667,True
147,205.11054895529784,228.81035042159897,225.81035042159897,120.81035042159897,123.81035042159897,-0.005731821517995705,0.016384630264321985,540.3995457839475,0.06086885552393514,0.26917920705571907,True
148,205.3476090399335,226.84907115236751,224.84907115236751,119.84907115236751,121.84907115236751,-0.003845907515248892,0.011033457912028411,363.9066337108577,0.040626077947282,0.2715856038662128,True
149,205.58471488038177,223.887774339707,222.887774339707,116.887774339707,117.887774339707,-0.0019441314925730771,0.005643810703234436,186.14473999817653,0.020196905012063046,0.27943938439397253,True
150,205.8218664522713,213.92645997333852,211.92645997333852,107.92645997333852,107.92645997333852,-0.004079320860692432,0.004079320860692432,134.54457651238278,0.013823665028693376,0.29509691186997844,True
151,206.05906373123076,210.9651280430005,209.9651280430005,104.9651280430005,105.9651280430005,-0.0020635024100346794,0.006181429764452842,203.87654668531638,0.020599621553690307,0.300074918771771,True
152,206.2963066928888,220.00377853844816,219.00377853844816,111.00377853844816,111.00377853844816,-0.0019785319229316187,0.0019785319229316187,65.25614159261784,0.0066819018294047485,0.29610311157592606,True
153,206.53359531287404,229.0424114494533,227.0424114494533,120.04241144945331,119.04241144945331,-0.0038089166215622156,0.00017592135887779673,5.802256193615165,0.000627185744566046,0.28049323569928697,True
154,206.7709295668151,240.0810267658053,238.0810267658053,131.0810267658053,131.0810267658053,-0.003633052948125297,0.003633052948125297,119.82572272326985,0.013919664232297587,0.2610014787350674,True
