Index,Wavelength,Intensity,Weak signal flag
195,216.54062404749823,-40.93655657298996,True
196,216.77985292025167,-20.907923835761267,True
197,217.01912637899272,-18.879300081600377,True
198,217.25844439934997,51.149314681788155,True
199,217.49780695695213,34.17792044670773,True
200,217.73721402742783,-9.793482794530291,True
201,217.97666558640566,-6.764895049607048,True
202,218.21616160951436,46.26368367380519,True
203,218.45570207238248,45.292253368040974,True
204,218.69528695063875,12.320814025443497,True
205,218.93491621991174,8.349365638363906,True
206,219.17458985583013,17.377908199160856,True
207,219.41430783402257,2.40644170020164,True
208,219.6540701301177,33.4349661338606,True
209,219.89387671974418,58.463481492520486,True
210,220.13372757853062,40.49198776857247,True
211,220.3736226821057,0.5204849544147692,True
212,220.61356200609805,-18.45102695754599,True
213,220.8535455261363,-4.4225479748949965,True
214,221.0935732178491,-5.394078105209928,True
215,221.33364505686512,5.634382643939716,True
216,221.573761018813,42.6628342649924,True
217,221.81392107932135,-4.308723249605919,True
218,222.05412521401888,-33.280289907400174,True
219,222.29437339853416,-14.251865715928716,True
220,222.53466560849589,43.77654931727875,True
221,222.7750018195327,6.80495518470093,True
222,223.0153820072732,-0.1666481211766495,True
223,223.25580614734608,8.861739392140407,True
224,223.49627421537997,31.890117717154226,True
225,223.73678618700353,45.91848684637466,True
226,223.97734203784537,38.94684677231976,True
227,224.21794174353417,13.975197487515743,True
228,224.45858527969855,34.00353898449612,True
229,224.69927262196717,44.031871255803026,True
230,224.94000374596868,16.06019429398657,True
231,225.18077862733173,4.088508091604126,True
232,225.42159724168494,-0.8831873587782866,True
233,225.66245956465696,18.14510793541308,True
234,225.90336557187644,31.17339396675993,True
235,226.144315238972,21.20167072785216,True
236,226.38530854157236,67.22993821128716,True
237,226.6263454553061,33.25819640967097,True
238,226.86742595580188,-65.7135546843831,True
239,227.10855001868836,29.314684921746675,True
240,227.34971761959417,33.342915220689974,True
241,227.59092873414795,-35.62886379491579,True
242,227.83218333797836,-42.600652132424784,True
243,228.07348140671402,-13.572449799183914,True
244,228.31482291598363,3.4557431974687915,True
245,228.55620784141576,-19.51607314979765,True
246,228.7976361586391,2.512101151694651,True
