Wavelength (nm),g-factor,CD,Extinction
776,0.0277976,295.671,0.322515
775.5,0.0275406,291.666,0.321115
775,0.027266,287.68,0.319917
774.5,0.0269434,283.627,0.319186
774,0.0266706,279.48,0.317736
773.5,0.0264003,275.428,0.316336
773,0.0260709,271.175,0.315386
772.5,0.0257689,267.033,0.314209
772,0.0254725,263.05,0.313125
771.5,0.0251691,258.867,0.311858
771,0.0248986,254.965,0.310495
770.5,0.024594,250.984,0.309433
770,0.0242579,247.201,0.308992
769.5,0.0239496,243.642,0.308463
769,0.0236223,239.524,0.307451
768.5,0.0233116,235.723,0.306605
768,0.0229712,231.662,0.305788
767.5,0.0225972,227.502,0.305268
767,0.0222898,223.854,0.304516
766.5,0.0219276,219.694,0.303793
766,0.021531,215.605,0.30363
765.5,0.0211691,211.507,0.30295
765,0.0208057,207.414,0.302277
764.5,0.020478,203.434,0.301222
764,0.0200879,199.238,0.300737
763.5,0.0197081,195.105,0.300174
763,0.0192934,190.771,0.299814
762.5,0.0188789,186.68,0.299826
762,0.0184697,182.432,0.299495
761.5,0.0181137,178.484,0.298772
761,0.017703,174.009,0.29804
760.5,0.0172716,169.597,0.297739
760,0.0168526,165.438,0.297657
759.5,0.0164005,160.86,0.297401
759,0.015965,156.461,0.297156
758.5,0.015508,151.976,0.297146
758,0.0150366,147.085,0.296598
757.5,0.0145709,142.301,0.296122
757,0.0141454,137.73,0.295231
756.5,0.0136664,132.906,0.294876
756,0.0131817,127.998,0.29443
755.5,0.0126803,123.017,0.294161
755,0.0121749,118,0.293877
754.5,0.0116423,112.707,0.293535
754,0.011117,107.579,0.293419
753.5,0.0105905,102.424,0.293248
753,0.0100472,96.8566,0.292303
752.5,0.00945113,91.0324,0.292053
752,0.00889772,85.6328,0.291817
751.5,0.00832891,80.0203,0.291314
751,0.00775066,74.4381,0.29121
750.5,0.00711813,68.3055,0.290964
750,0.00651716,62.5049,0.290807
749.5,0.00592719,56.8516,0.290833
749,0.00528483,50.7543,0.2912
748.5,0.0046664,44.8323,0.291313
748,0.00403753,38.8144,0.291492
747.5,0.00340349,32.7456,0.291727
747,0.00277526,26.702,0.291735
746.5,0.00214096,20.5595,0.291174
746,0.00145113,13.938,0.291236
745.5,0.000797069,7.64109,0.290676
745,0.000106467,1.0203,0.29058
744.5,-0.00057314,-5.48972,0.290428
744,-0.00128273,-12.2613,0.289836
743.5,-0.00199317,-19.0303,0.2895
743,-0.00272785,-26.027,0.289303
742.5,-0.0034359,-32.7859,0.289332
742,-0.00419081,-39.8857,0.288582
741.5,-0.00492454,-46.7509,0.287855
741,-0.00572282,-54.1882,0.287107
740.5,-0.00648933,-61.3334,0.28658
740,-0.00727719,-68.5775,0.285738
739.5,-0.00808274,-75.992,0.285075
739,-0.00890801,-83.5642,0.284439
738.5,-0.00973188,-91.1851,0.284104
738,-0.0105467,-98.7557,0.283919
737.5,-0.0114116,-106.547,0.283103
737,-0.0122798,-114.461,0.282629
736.5,-0.0131374,-122.356,0.282401
736,-0.0139862,-130.263,0.282403
735.5,-0.0148622,-138.262,0.282079
735,-0.015797,-146.95,0.282062
734.5,-0.0167132,-155.152,0.281479
734,-0.0176172,-163.395,0.281224
733.5,-0.0185135,-171.686,0.281188
733,-0.0194583,-180.606,0.281433
732.5,-0.0203957,-189.024,0.281014
732,-0.0213535,-197.938,0.281067
731.5,-0.0223038,-206.935,0.281323
731,-0.0232379,-215.669,0.28141
730.5,-0.0241816,-224.63,0.281664
730,-0.0251644,-233.743,0.281645
729.5,-0.0261085,-242.51,0.281642
729,-0.0270996,-251.762,0.281693
728.5,-0.0280774,-261.216,0.282093
728,-0.0291147,-270.634,0.281851
727.5,-0.030092,-279.72,0.281852
727,-0.0310654,-289.442,0.28251
726.5,-0.0321319,-299.278,0.282416
726,-0.0331512,-309.405,0.282994
725.5,-0.0342622,-319.733,0.282958
725,-0.0353073,-329.664,0.283111
724.5,-0.036394,-340.31,0.283527
724,-0.0375114,-351.167,0.283857
723.5,-0.0387764,-362.219,0.283239
723,-0.0399372,-372.981,0.283177
722.5,-0.0412289,-384.464,0.28275
722,-0.0425036,-396.183,0.282631
721.5,-0.0437192,-407.543,0.282651
721,-0.0450197,-419.572,0.282588
720.5,-0.0463475,-431.661,0.2824
720,-0.0476055,-443.274,0.282335
719.5,-0.0489404,-455.765,0.282373
719,-0.0502482,-467.679,0.282213
718.5,-0.0515995,-480.307,0.282242
718,-0.0529147,-492.37,0.28214
717.5,-0.0542456,-504.548,0.282025
717,-0.055622,-517.453,0.282081
716.5,-0.0569762,-529.712,0.2819
716,-0.0584341,-541.961,0.281223
715.5,-0.0598537,-554.979,0.281148
715,-0.0611518,-567.523,0.2814
714.5,-0.0625147,-580.003,0.281318
714,-0.0639173,-593.223,0.281416
713.5,-0.065231,-605.882,0.281633
713,-0.0667447,-618.824,0.281125
712.5,-0.0681459,-631.93,0.281176
712,-0.0696734,-645.904,0.281093
711.5,-0.0711228,-659.301,0.281076
711,-0.0725318,-672.644,0.281194
710.5,-0.073967,-687.004,0.281625
710,-0.0753857,-700.746,0.281852
709.5,-0.0769846,-715.378,0.281761
709,-0.0784259,-729.973,0.282226
708.5,-0.0799434,-743.995,0.282187
708,-0.0814329,-758.958,0.282597
707.5,-0.082814,-774.126,0.283437
707,-0.0842608,-788.558,0.283764
706.5,-0.0856761,-803.839,0.284485
706,-0.087086,-819.254,0.285246
705.5,-0.0885138,-834.834,0.285982
705,-0.0899898,-850.378,0.286529
704.5,-0.0912579,-865.868,0.287694
704,-0.0926119,-881.52,0.288612
703.5,-0.0937405,-896.468,0.289973
703,-0.0950525,-912.111,0.29096
702.5,-0.0964974,-927.811,0.291537
702,-0.0980411,-943.689,0.291857
701.5,-0.099539,-959.485,0.292277
701,-0.100798,-974.62,0.293179
700.5,-0.102366,-990.643,0.293434
700,-0.103687,-1006.6,0.29436
699.5,-0.10499,-1021.91,0.295131
699,-0.106478,-1037.99,0.295584
698.5,-0.108004,-1054.32,0.295991
698,-0.109424,-1069.87,0.29646
697.5,-0.110927,-1086.17,0.296899
697,-0.112422,-1102.48,0.29735
696.5,-0.113919,-1118.1,0.297601
696,-0.115428,-1134.62,0.29805
695.5,-0.117158,-1151.07,0.297905
695,-0.118975,-1167.65,0.297582
694.5,-0.120691,-1184.25,0.29752
694,-0.122098,-1200,0.298006
693.5,-0.123728,-1216.55,0.298134
693,-0.125256,-1233.19,0.298523
692.5,-0.126977,-1249.76,0.298436
692,-0.128501,-1266.25,0.298788
691.5,-0.130135,-1283.52,0.29906
691,-0.131754,-1299.79,0.299127
690.5,-0.133214,-1316.01,0.299543
690,-0.134644,-1331.98,0.299957
689.5,-0.136177,-1347.9,0.300126
689,-0.137766,-1364.35,0.300285
688.5,-0.139101,-1379.7,0.300749
688,-0.140446,-1395,0.301171
687.5,-0.141774,-1409.96,0.301551
687,-0.143239,-1425.46,0.301745
686.5,-0.144663,-1440.09,0.301843
686,-0.145864,-1454.49,0.302352
685.5,-0.146908,-1468.61,0.303116
685,-0.148063,-1483.28,0.303757
684.5,-0.149255,-1496.97,0.304112
684,-0.15042,-1510.36,0.304455
683.5,-0.151361,-1523.56,0.305208
683,-0.152536,-1536.62,0.305454
682.5,-0.153554,-1549.35,0.305941
682,-0.154645,-1561.71,0.306205
681.5,-0.155547,-1573.92,0.306811
681,-0.156395,-1585.91,0.30747
680.5,-0.157307,-1597.12,0.30785
680,-0.158199,-1608.77,0.308346
679.5,-0.158941,-1620.02,0.309053
679,-0.159526,-1630.66,0.309942
678.5,-0.160203,-1641.26,0.310638
678,-0.160696,-1650.96,0.311515
677.5,-0.161643,-1660.48,0.311478
677,-0.162259,-1669.66,0.312011
676.5,-0.162957,-1678.88,0.312388
676,-0.163559,-1687.4,0.31282
675.5,-0.164091,-1695.62,0.313324
675,-0.164594,-1703.44,0.313807
674.5,-0.164939,-1710.95,0.314531
674,-0.165409,-1718.49,0.31502
673.5,-0.165857,-1725.24,0.315402
673,-0.166208,-1731.6,0.315897
672.5,-0.166441,-1737.93,0.316609
