Index,Wavelength,LHC reference intensity,RHC reference intensity,LHC intensity,RHC intensity,Reference delta absorbance,Reference ellipticity,Delta absorbance,Ellipticity,g-factor,Average absorbace,Weak signal flag
357,255.86019653300502,449.0298804459867,458.0298804459867,434.0298804459867,440.0298804459867,0.00861856909846492,284.2585246650203,-0.0026560298340104673,-87.60144676644404,-0.16513873025755488,0.016083627564945246,True
358,256.1063305089095,458.06200313140243,465.06200313140243,445.06200313140243,451.06200313140243,0.006586589935141301,217.23958074087005,-0.0007708639577585306,-25.424713644044175,-0.05980705198763762,0.012889181662354325,True
359,256.352505122642,449.0941053358765,456.0941053358765,435.0941053358765,441.0941053358765,0.006717104665308187,221.54423087715546,-0.0007690501456536535,-25.36489030828372,-0.054393347285252594,0.014138680262138645,True
360,256.5987203498313,455.12618705491354,462.12618705491354,440.12618705491354,449.12618705491354,0.00662875448135197,218.63025610264785,0.0021624141809453946,71.32096497314612,0.16049496562889234,0.013473408168736455,True
361,256.844976166106,451.1582482840374,461.1582482840374,439.1582482840374,446.1582482840374,0.009521079092419902,314.02520129615306,-0.002653196839134622,-87.50800864062623,-0.2035525552137053,0.013034456071303501,True
362,257.0912725470947,444.19028901879165,456.19028901879165,433.19028901879165,438.19028901879165,0.011576976477431979,381.8330184464845,-0.006592940118248112,-217.44902312749736,-0.4647229838513929,0.014186817410253964,True
363,257.33760946842614,449.222309254739,457.222309254739,434.222309254739,442.222309254739,0.007666096742413034,252.8439843135657,0.00026241870982005467,8.655120640760828,0.017951783835665605,0.014617974025438952,True
364,257.58398690572886,455.25430898746185,462.25430898746185,440.25430898746185,447.25430898746185,0.0066269031160774055,218.56919418441626,0.00022401495614391125,7.388484121767874,0.015515174806741586,0.014438442294995815,True
365,257.83040483463157,452.28628821256166,458.28628821256166,434.28628821256166,442.28628821256166,0.005723441870688574,188.77114328151254,0.0022039161501109256,72.68978715127173,0.13328515472081637,0.016535346001040577,True
366,258.0768632307629,462.31824692565965,469.31824692565965,445.31824692565965,454.31824692565965,0.006526405103929316,215.25455850201843,0.002163284043474131,71.34965486775098,0.14242530873810147,0.015188901906837936,True
367,258.32336206975145,446.3501851223966,455.3501851223966,429.3501851223966,437.3501851223966,0.008669798241861159,285.9481694953044,-0.0006521380404604302,-21.508883335661494,-0.03793676357807671,0.01719013376347408,True
368,258.569901327226,445.382102798432,453.382102798432,428.382102798432,436.382102798432,0.00773161101751211,255.00478281403593,0.00030400135502363455,10.026603684198221,0.018149938845342842,0.016749442387330102,True
369,258.81648097881504,451.4139999494457,458.4139999494457,435.4139999494457,443.4139999494457,0.00668284853890454,220.41439182371286,0.0012241635911889653,40.37548836755141,0.08128277680515089,0.015060553284535304,True
370,259.06310100014724,449.44587657113607,458.44587657113607,434.44587657113607,443.44587657113607,0.00861067052168672,283.9980130004651,0.00029427081063365494,9.705669877103105,0.020163012735878984,0.014594585367196444,True
371,259.3097613668514,448.4777326592214,456.4777326592214,433.4777326592214,439.4777326592214,0.007678712376203295,253.26007443339466,-0.001708630214974912,-56.35421594442556,-0.1093284962625587,0.015628406805043196,True
372,259.55646205455594,452.5095682094395,461.5095682094395,439.5095682094395,444.5095682094395,0.008552942736162332,282.09402929297653,-0.0036401631915444132,-120.06023349660535,-0.251400921753021,0.01447951410106821,True
373,259.8032030388896,451.54138321754704,458.54138321754704,439.54138321754704,444.54138321754704,0.006680977683417527,220.35268707730725,-0.0017685517334178717,-58.33055357468447,-0.14056133273797974,0.012582064348483572,True
374,260.0499842954811,453.5731776793209,460.5731776793209,439.5731776793209,446.5731776793209,0.006651278051142566,219.37313077774968,0.00021017229657301854,6.931924112547421,0.015555535195550484,0.01351109389236163,True
